Date|Day|Germany|Switzerland|Italy|Korea|Singapore
2020-02-01|1|7|0|2|12|16
2020-02-02|2|8|0|2|15|18
2020-02-03|3|10|0|2|15|18
2020-02-04|4|12|0|2|16|18
2020-02-05|5|12|0|2|18|24
2020-02-06|6|12|0|2|23|28
2020-02-07|7|13|0|3|24|30
2020-02-08|8|14|0|3|24|33
2020-02-09|9|14|0|3|27|40
2020-02-10|10|14|0|3|27|43
2020-02-11|11|14|0|3|28|45
2020-02-12|12|16|0|3|28|47
2020-02-13|13|16|0|3|28|50
2020-02-14|14|16|0|3|28|58
2020-02-15|15|16|0|3|28|67
2020-02-16|16|16|0|3|29|72
2020-02-17|17|16|0|3|30|75
2020-02-18|18|16|0|3|31|77
2020-02-19|19|16|0|3|51|81
2020-02-20|20|16|0|3|104|84
2020-02-21|21|16|0|3|204|85
2020-02-22|22|16|0|9|346|86
2020-02-23|23|16|0|76|602|89
2020-02-24|24|16|0|124|763|89
2020-02-25|25|16|0|229|977|90
2020-02-26|26|18|1|322|1261|91
2020-02-27|27|21|1|400|1766|93
2020-02-28|28|26|6|650|2337|96
2020-02-29|29|57|10|888|3150|98
2020-03-01|30|57|18|1128|3736|102
2020-03-02|31|129|24|1689|4212|106
2020-03-03|32|157|30|2036|4812|108
2020-03-04|33|196|37|2502|5328|110
2020-03-05|34|262|56|3089|5766|110
2020-03-06|35|534|86|3858|6284|117
2020-03-07|36|639|209|4636|6767|130
2020-03-08|37|795|264|5883|7134|138
2020-03-09|38|1112|332|7375|7382|150
2020-03-10|39|1139|332|9172|7513|160
2020-03-11|40|1296|491|10149|7755|166
2020-03-12|41|1567|645|12462|7869|178
2020-03-13|42|2369|858|15113|7979|187
2020-03-14|43|3062|1125|17660|8086|200
2020-03-15|44|3795|1359|21157|8162|212
2020-03-16|45|4838|2200|24747|8236|243
2020-03-17|46|7156|2650|27980|8320|243
2020-03-18|47|8198|2650|31506|8320|266
2020-03-19|48|10999|3010|35713|8413|313
2020-03-20|49|13957|3863|41035|8652|345
